Ep 50 | Test Rate: 0.00 | Rew: -398.0
Ep 100 | Test Rate: 0.00 | Rew: -398.0
Ep 150 | Test Rate: 0.00 | Rew: -398.0
Ep 200 | Test Rate: 0.00 | Rew: -359.2
Ep 250 | Test Rate: 0.00 | Rew: -398.0
Ep 300 | Test Rate: 0.00 | Rew: -359.2
Ep 350 | Test Rate: 0.00 | Rew: -359.6
Ep 400 | Test Rate: 0.00 | Rew: -319.2
Ep 450 | Test Rate: 0.00 | Rew: -358.8
Ep 500 | Test Rate: 0.00 | Rew: -378.8
Ep 550 | Test Rate: 0.00 | Rew: -398.0
Ep 600 | Test Rate: 0.00 | Rew: -398.0
Ep 650 | Test Rate: 0.00 | Rew: -319.6
Ep 700 | Test Rate: 0.00 | Rew: -398.0
Ep 750 | Test Rate: 0.00 | Rew: -398.0
Ep 800 | Test Rate: 0.00 | Rew: -359.6
Ep 850 | Test Rate: 0.00 | Rew: -321.2
Ep 900 | Test Rate: 0.00 | Rew: -323.6
Ep 950 | Test Rate: 0.00 | Rew: -358.4
Ep 1000 | Test Rate: 0.00 | Rew: -320.0
