Ep 50 | Test Rate: 0.00 | Rew: -398.0
Ep 100 | Test Rate: 0.00 | Rew: -340.4
Ep 150 | Test Rate: 0.00 | Rew: -284.6
Ep 200 | Test Rate: 0.00 | Rew: -321.6
Ep 250 | Test Rate: 0.00 | Rew: -283.6
Ep 300 | Test Rate: 0.00 | Rew: -303.4
Ep 350 | Test Rate: 0.00 | Rew: -302.4
Ep 400 | Test Rate: 0.00 | Rew: -301.6
Ep 450 | Test Rate: 0.00 | Rew: -244.6
Ep 500 | Test Rate: 0.00 | Rew: -282.6
Ep 550 | Test Rate: 0.00 | Rew: -360.0
Ep 600 | Test Rate: 0.00 | Rew: -358.8
Ep 650 | Test Rate: 0.00 | Rew: -264.0
Ep 700 | Test Rate: 0.00 | Rew: -378.4
Ep 750 | Test Rate: 0.00 | Rew: -353.2
Ep 800 | Test Rate: 0.00 | Rew: -262.6
Ep 850 | Test Rate: 0.00 | Rew: -321.6
Ep 900 | Test Rate: 0.00 | Rew: -320.8
Ep 950 | Test Rate: 0.00 | Rew: -378.4
Ep 1000 | Test Rate: 0.00 | Rew: -321.6
Ep 1050 | Test Rate: 0.00 | Rew: -301.8
Ep 1100 | Test Rate: 0.00 | Rew: -226.6
Ep 1150 | Test Rate: 0.00 | Rew: -226.0
Ep 1200 | Test Rate: 0.00 | Rew: -244.6
Ep 1250 | Test Rate: 0.00 | Rew: -378.4
Ep 1300 | Test Rate: 0.00 | Rew: -320.4
Ep 1350 | Test Rate: 0.00 | Rew: -378.4
Ep 1400 | Test Rate: 0.00 | Rew: -360.4
Ep 1450 | Test Rate: 0.00 | Rew: -303.0
Ep 1500 | Test Rate: 0.00 | Rew: -295.2
Ep 1550 | Test Rate: 0.00 | Rew: -283.4
Ep 1600 | Test Rate: 0.00 | Rew: -300.8
Ep 1650 | Test Rate: 0.00 | Rew: -321.4
Ep 1700 | Test Rate: 0.00 | Rew: -284.0
Ep 1750 | Test Rate: 0.00 | Rew: -246.0
Ep 1800 | Test Rate: 0.00 | Rew: -265.4
Ep 1850 | Test Rate: 0.00 | Rew: -292.2
Ep 1900 | Test Rate: 0.00 | Rew: -207.8
Ep 1950 | Test Rate: 0.00 | Rew: -225.2
Ep 2000 | Test Rate: 0.00 | Rew: -226.2
Ep 2050 | Test Rate: 0.00 | Rew: -320.8
Ep 2100 | Test Rate: 0.00 | Rew: -321.6
Ep 2150 | Test Rate: 0.00 | Rew: -246.0
