Ep 50 | Test Rate: 0.00 | Rew: -398.0
Ep 100 | Test Rate: 0.00 | Rew: -398.0
Ep 150 | Test Rate: 0.00 | Rew: -340.4
Ep 200 | Test Rate: 0.00 | Rew: -320.4
Ep 250 | Test Rate: 0.00 | Rew: -341.6
Ep 300 | Test Rate: 0.00 | Rew: -319.8
Ep 350 | Test Rate: 0.00 | Rew: -322.0
Ep 400 | Test Rate: 0.00 | Rew: -341.2
Ep 450 | Test Rate: 0.00 | Rew: -340.0
Ep 500 | Test Rate: 0.00 | Rew: -283.0
Ep 550 | Test Rate: 0.00 | Rew: -301.0
Ep 600 | Test Rate: 0.00 | Rew: -322.2
Ep 650 | Test Rate: 0.00 | Rew: -330.8
Ep 700 | Test Rate: 0.00 | Rew: -283.4
Ep 750 | Test Rate: 0.00 | Rew: -349.0
Ep 800 | Test Rate: 0.00 | Rew: -261.6
Ep 850 | Test Rate: 0.00 | Rew: -310.2
Ep 900 | Test Rate: 0.00 | Rew: -238.4
Ep 950 | Test Rate: 0.00 | Rew: -349.6
Ep 1000 | Test Rate: 0.00 | Rew: -255.4
Ep 1050 | Test Rate: 0.00 | Rew: -328.2
Ep 1100 | Test Rate: 0.00 | Rew: -378.2
Ep 1150 | Test Rate: 0.00 | Rew: -314.8
Ep 1200 | Test Rate: 0.00 | Rew: -305.0
Ep 1250 | Test Rate: 0.00 | Rew: -330.8
Ep 1300 | Test Rate: 0.10 | Rew: -299.2
Ep 1350 | Test Rate: 0.00 | Rew: -307.0
Ep 1400 | Test Rate: 0.10 | Rew: -242.4
Ep 1450 | Test Rate: 0.10 | Rew: -280.8
Ep 1500 | Test Rate: 0.00 | Rew: -378.8
Ep 1550 | Test Rate: 0.00 | Rew: -310.0
Ep 1600 | Test Rate: 0.10 | Rew: -239.8
Ep 1650 | Test Rate: 0.50 | Rew: -35.2
Ep 1700 | Test Rate: 0.10 | Rew: -309.2
Ep 1750 | Test Rate: 0.20 | Rew: -239.2
Ep 1800 | Test Rate: 0.10 | Rew: -262.4
Ep 1850 | Test Rate: 0.00 | Rew: -323.6
Ep 1900 | Test Rate: 0.00 | Rew: -313.8
Ep 1950 | Test Rate: 0.30 | Rew: -197.6
Ep 2000 | Test Rate: 0.10 | Rew: -326.2
Ep 2050 | Test Rate: 0.00 | Rew: -349.4
Ep 2100 | Test Rate: 0.00 | Rew: -376.6
Ep 2150 | Test Rate: 0.00 | Rew: -333.6
Ep 2200 | Test Rate: 0.30 | Rew: -185.4
Ep 2250 | Test Rate: 0.00 | Rew: -331.6
Ep 2300 | Test Rate: 0.10 | Rew: -271.6
Ep 2350 | Test Rate: 0.00 | Rew: -357.0
Ep 2400 | Test Rate: 0.00 | Rew: -327.4
Ep 2450 | Test Rate: 0.00 | Rew: -359.2
Ep 2500 | Test Rate: 0.00 | Rew: -315.0
Ep 2550 | Test Rate: 0.00 | Rew: -330.2
Ep 2600 | Test Rate: 0.00 | Rew: -334.4
Ep 2650 | Test Rate: 0.00 | Rew: -388.0
Ep 2700 | Test Rate: 0.00 | Rew: -369.8
Ep 2750 | Test Rate: 0.00 | Rew: -383.0
Ep 2800 | Test Rate: 0.00 | Rew: -366.2
Ep 2850 | Test Rate: 0.00 | Rew: -369.6
Ep 2900 | Test Rate: 0.00 | Rew: -385.2
Ep 2950 | Test Rate: 0.00 | Rew: -384.6
Ep 3000 | Test Rate: 0.00 | Rew: -383.8
Ep 3050 | Test Rate: 0.00 | Rew: -353.0
Ep 3100 | Test Rate: 0.00 | Rew: -395.4
Ep 3150 | Test Rate: 0.00 | Rew: -378.4
Ep 3200 | Test Rate: 0.00 | Rew: -396.4
Ep 3250 | Test Rate: 0.00 | Rew: -388.2
Ep 3300 | Test Rate: 0.00 | Rew: -397.6
Ep 3350 | Test Rate: 0.00 | Rew: -393.8
Ep 3400 | Test Rate: 0.00 | Rew: -397.4
Ep 3450 | Test Rate: 0.00 | Rew: -364.6
Ep 3500 | Test Rate: 0.00 | Rew: -377.4
Ep 3550 | Test Rate: 0.00 | Rew: -397.6
Ep 3600 | Test Rate: 0.00 | Rew: -397.6
Ep 3650 | Test Rate: 0.00 | Rew: -397.0
Ep 3700 | Test Rate: 0.00 | Rew: -398.0
Ep 3750 | Test Rate: 0.00 | Rew: -381.0
Ep 3800 | Test Rate: 0.00 | Rew: -378.2
Ep 3850 | Test Rate: 0.00 | Rew: -378.2
Ep 3900 | Test Rate: 0.00 | Rew: -387.6
Ep 3950 | Test Rate: 0.00 | Rew: -388.0
Ep 4000 | Test Rate: 0.00 | Rew: -387.4
Ep 4050 | Test Rate: 0.00 | Rew: -398.0
Ep 4100 | Test Rate: 0.00 | Rew: -391.0
Ep 4150 | Test Rate: 0.00 | Rew: -395.0
Ep 4200 | Test Rate: 0.00 | Rew: -398.0
Ep 4250 | Test Rate: 0.00 | Rew: -397.2
Ep 4300 | Test Rate: 0.00 | Rew: -394.8
Ep 4350 | Test Rate: 0.00 | Rew: -397.8
Ep 4400 | Test Rate: 0.00 | Rew: -388.6
Ep 4450 | Test Rate: 0.00 | Rew: -369.2
Ep 4500 | Test Rate: 0.00 | Rew: -392.0
Ep 4550 | Test Rate: 0.00 | Rew: -381.4
Ep 4600 | Test Rate: 0.00 | Rew: -348.6
Ep 4650 | Test Rate: 0.00 | Rew: -396.4
Ep 4700 | Test Rate: 0.00 | Rew: -378.8
Ep 4750 | Test Rate: 0.00 | Rew: -389.6
Ep 4800 | Test Rate: 0.00 | Rew: -398.0
Ep 4850 | Test Rate: 0.00 | Rew: -396.6
Ep 4900 | Test Rate: 0.00 | Rew: -396.6
Ep 4950 | Test Rate: 0.00 | Rew: -397.8
Ep 5000 | Test Rate: 0.00 | Rew: -385.4
