Ep 50 | Test Rate: 0.00 | Rew: -398.0
Ep 100 | Test Rate: 0.00 | Rew: -398.0
Ep 150 | Test Rate: 0.00 | Rew: -398.0
Ep 200 | Test Rate: 0.00 | Rew: -398.0
Ep 250 | Test Rate: 0.00 | Rew: -378.4
Ep 300 | Test Rate: 0.00 | Rew: -378.2
Ep 350 | Test Rate: 0.00 | Rew: -378.8
Ep 400 | Test Rate: 0.00 | Rew: -358.6
Ep 450 | Test Rate: 0.00 | Rew: -341.0
Ep 500 | Test Rate: 0.00 | Rew: -339.2
Ep 550 | Test Rate: 0.00 | Rew: -365.2
Ep 600 | Test Rate: 0.00 | Rew: -320.6
Ep 650 | Test Rate: 0.00 | Rew: -358.4
Ep 700 | Test Rate: 0.00 | Rew: -368.6
Ep 750 | Test Rate: 0.00 | Rew: -359.8
Ep 800 | Test Rate: 0.00 | Rew: -321.0
Ep 850 | Test Rate: 0.00 | Rew: -319.8
Ep 900 | Test Rate: 0.00 | Rew: -341.8
Ep 950 | Test Rate: 0.00 | Rew: -362.6
Ep 1000 | Test Rate: 0.00 | Rew: -360.6
Ep 1050 | Test Rate: 0.00 | Rew: -359.6
Ep 1100 | Test Rate: 0.00 | Rew: -283.6
Ep 1150 | Test Rate: 0.00 | Rew: -349.0
Ep 1200 | Test Rate: 0.00 | Rew: -321.6
Ep 1250 | Test Rate: 0.00 | Rew: -329.2
Ep 1300 | Test Rate: 0.00 | Rew: -330.0
Ep 1350 | Test Rate: 0.00 | Rew: -339.8
Ep 1400 | Test Rate: 0.00 | Rew: -340.8
Ep 1450 | Test Rate: 0.00 | Rew: -360.2
Ep 1500 | Test Rate: 0.00 | Rew: -321.2
Ep 1550 | Test Rate: 0.00 | Rew: -378.2
Ep 1600 | Test Rate: 0.10 | Rew: -319.2
Ep 1650 | Test Rate: 0.00 | Rew: -358.2
Ep 1700 | Test Rate: 0.00 | Rew: -368.8
Ep 1750 | Test Rate: 0.00 | Rew: -324.2
Ep 1800 | Test Rate: 0.00 | Rew: -338.6
Ep 1850 | Test Rate: 0.00 | Rew: -322.2
Ep 1900 | Test Rate: 0.00 | Rew: -379.2
Ep 1950 | Test Rate: 0.00 | Rew: -331.4
Ep 2000 | Test Rate: 0.00 | Rew: -352.8
Ep 2050 | Test Rate: 0.00 | Rew: -325.8
Ep 2100 | Test Rate: 0.00 | Rew: -344.4
Ep 2150 | Test Rate: 0.00 | Rew: -358.6
Ep 2200 | Test Rate: 0.00 | Rew: -318.0
Ep 2250 | Test Rate: 0.00 | Rew: -379.0
Ep 2300 | Test Rate: 0.00 | Rew: -379.0
Ep 2350 | Test Rate: 0.00 | Rew: -388.0
